num_distr	fixation.started	mouse.started	target.started	fixation.stopped	mouse.x	mouse.y	mouse.time	mouse.clicked_name
5	229.5626929	0.0230155	230.0395767	230.072564	[0.16944444444444445]	[-0.26666666666666666]	[0.5189938999974402]	[]
5	230.1205335	0.0266816	230.6106381		[0.16944444444444445]	[-0.26666666666666666]	[0.4655304000043543]	[]
5	230.6106381	0.0209766	231.0899749	231.1591244	[0.16944444444444445]	[-0.26666666666666666]	[0.5046062999972492]	[]
10	231.1591244	0.033511	231.6350675		[0.16944444444444445]	[-0.26666666666666666]	[0.46380089999729535]	[]
5	231.6350675	0.0116842	232.1230116	232.1403547	[0.16944444444444445]	[-0.26666666666666666]	[0.5130068999933428]	[]
10	232.1997287	0.0406492	232.6573056		[0.16944444444444445]	[-0.26666666666666666]	[0.46844769999734126]	[]
5	232.7007566	0.0260621	233.1743295	233.2450543	[0.16944444444444445]	[-0.26666666666666666]	[0.49998210000194376]	[]
10	233.2450543	0.0343938	233.7535933		[0.16944444444444445]	[-0.26666666666666666]	[0.46140549999836367]	[]
10	233.7535933	0.0394417	234.21256	234.2656332	[0.16944444444444445]	[-0.26666666666666666]	[0.522790699993493]	[]
5	234.3067488	0.0239528			[0.16944444444444445]	[-0.26666666666666666]	[0.4270892999993521]	[]
